RANK;FULL NAME;TEAM;POS;AGE;GP;MPG;MIN%;USG%;TO%;FTA;FT%;2PA;2P%;3PA;3P%;eFG%;TS%;PPG;RPG;TRB%;APG;AST%;SPG;BPG;TOPG;VI;ORTG;DRTG
;Johnny Davis;Was;G;20.81;8;5.7;11.8;12.8;7.5;3;1;9;0.333;2;0;0.273;0.365;1.1;0.6;6.1;0.3;5.6;0;0.13;0.13;4.1;84.5;91.8
;JD Davison;Bos;G;20.21;3;2.8;5.9;25.8;20;0;0;2;0.5;2;0;0.25;0.25;0.7;0.3;6.5;0.3;15.8;0.33;0;0.33;5.7;;
;Terence Davis;Sac;G;25.59;24;13.7;28.6;22.4;12.7;16;0.875;48;0.583;96;0.385;0.58;0.599;7.5;2.8;11.8;1.4;14.7;0.71;0.25;0.92;9;111.8;98.5
;Dewayne Dedmon;Mia;C;33.35;25;12.3;25.5;22.2;10.4;40;0.725;85;0.588;35;0.314;0.554;0.589;6.5;3.7;17.3;0.6;8.2;0.2;0.48;0.64;7.9;115;93.6
;Matthew Dellavedova;Sac;G;32.28;13;7.5;15.7;13.2;19.8;3;0.333;13;0.308;10;0.3;0.37;0.37;1.4;0.4;2.9;1.5;25.2;0.46;0;0.46;5;91.8;103.6
;DeMar DeRozan;Chi;G-F;33.37;29;35.3;73.6;28.9;8.8;239;0.891;478;0.521;42;0.31;0.516;0.6;25.9;5;8;4.7;21.7;0.83;0.41;2.07;9.6;120;109.7
;Moussa Diabate;Lac;F;20.91;8;11.3;23.5;15.9;15.2;9;0.778;24;0.542;0;0;0.542;0.59;4.1;4;19.2;0.3;3.3;0.38;0.13;0.63;6;126.4;100.7
;Mamadi Diakite;Cle;F;25.91;11;7.5;15.7;14.1;19.2;0;0;9;0.667;12;0.333;0.571;0.571;2.2;1;7.9;0.2;3.4;0.18;0.45;0.45;4.1;97.4;97.2
;Hamidou Diallo;Det;G;24.39;25;15.2;31.6;18.9;12.4;55;0.636;111;0.523;13;0.154;0.492;0.53;6.3;2.8;10.2;0.9;9.2;0.52;0.2;0.84;6.6;106.1;105.7
;Gorgui Dieng;San;C;32.92;12;11.8;24.5;17;20.8;4;0.75;13;0.692;31;0.29;0.511;0.524;4;3.3;15.5;1.8;21;0.08;0.42;1;9.7;105.8;105.1
;Ousmane Dieng;Okc;F;19.58;14;15.7;32.7;12.8;10.3;4;0.25;25;0.6;34;0.294;0.508;0.502;4.4;2.9;9.5;1.4;11.9;0.36;0.29;0.5;6.7;106.2;111.4
